"----------------------------------
Data Retrieval: Starting
----------------------------------"
"***********
Beginning callset group: 0
***********"
"Processed Record 0 in callset group: 0 | atuona, pf"
"Skipping Record 1 in callset group: 0 | mys shmidta, ru NOT FOUND"
"Processed Record 2 in callset group: 0 | trinidad, cu"
"Processed Record 3 in callset group: 0 | bredasdorp, za"
"Processed Record 4 in callset group: 0 | ushuaia, ar"
"Processed Record 5 in callset group: 0 | castro, cl"
"Processed Record 6 in callset group: 0 | haradok, by"
"Processed Record 7 in callset group: 0 | port alfred, za"
"Processed Record 8 in callset group: 0 | troitsko-pechorsk, ru"
"Processed Record 9 in callset group: 0 | mareeba, au"
"Processed Record 10 in callset group: 0 | bismarck, us"
"Processed Record 11 in callset group: 0 | ribeira grande, pt"
"Processed Record 12 in callset group: 0 | talnakh, ru"
"Processed Record 13 in callset group: 0 | pitsunda, ge"
"Processed Record 14 in callset group: 0 | punta arenas, cl"
"Processed Record 15 in callset group: 0 | cogua, co"
"Skipping Record 16 in callset group: 0 | barentsburg, sj NOT FOUND"
"Processed Record 17 in callset group: 0 | atar, mr"
"Processed Record 18 in callset group: 0 | kapaa, us"
"Processed Record 19 in callset group: 0 | cape town, za"
"Processed Record 20 in callset group: 0 | college, us"
"Processed Record 21 in callset group: 0 | albany, au"
"Processed Record 22 in callset group: 0 | rikitea, pf"
"Processed Record 23 in callset group: 0 | east london, za"
"Processed Record 24 in callset group: 0 | ahipara, nz"
"Skipping Record 25 in callset group: 0 | illoqqortoormiut, gl NOT FOUND"
"Processed Record 26 in callset group: 0 | pingyin, cn"
"Processed Record 27 in callset group: 0 | hambantota, lk"
"Processed Record 28 in callset group: 0 | gao, ml"
"Processed Record 29 in callset group: 0 | bluff, nz"
"Processed Record 30 in callset group: 0 | farah, af"
"Skipping Record 31 in callset group: 0 | gurskoye, ru NOT FOUND"
"Skipping Record 32 in callset group: 0 | tarudant, ma NOT FOUND"
"Processed Record 33 in callset group: 0 | praia, cv"
"Processed Record 34 in callset group: 0 | puerto carreno, co"
"Processed Record 35 in callset group: 0 | kampene, cd"
"Processed Record 36 in callset group: 0 | vaini, to"
"Processed Record 37 in callset group: 0 | severo-kurilsk, ru"
"Processed Record 38 in callset group: 0 | deputatskiy, ru"
"Processed Record 39 in callset group: 0 | kuopio, fi"
"Processed Record 40 in callset group: 0 | ola, ru"
"Processed Record 41 in callset group: 0 | puerto ayora, ec"
"Processed Record 42 in callset group: 0 | yarada, in"
"Processed Record 43 in callset group: 0 | jumla, np"
"Processed Record 44 in callset group: 0 | yellowknife, ca"
"Processed Record 45 in callset group: 0 | lagoa, pt"
"Processed Record 46 in callset group: 0 | lavrentiya, ru"
"Processed Record 47 in callset group: 0 | fortuna, us"
"Processed Record 48 in callset group: 0 | upernavik, gl"
"Processed Record 49 in callset group: 0 | tilichiki, ru"
"Processed Record 50 in callset group: 0 | lokosovo, ru"
"Skipping Record 51 in callset group: 0 | attawapiskat, ca NOT FOUND"
"Processed Record 52 in callset group: 0 | cidreira, br"
"Processed Record 53 in callset group: 0 | bintulu, my"
"Skipping Record 54 in callset group: 0 | taolanaro, mg NOT FOUND"
"Processed Record 55 in callset group: 0 | arlit, ne"
"Skipping Record 56 in callset group: 0 | saint anthony, ca NOT FOUND"
"Processed Record 57 in callset group: 0 | hobart, au"
"Processed Record 58 in callset group: 0 | taguisa, ph"
"Skipping Record 59 in callset group: 0 | mataura, pf NOT FOUND"
"***********
Beginning callset group: 1
***********"
"Processed Record 0 in callset group: 1 | tres picos, mx"
"Processed Record 1 in callset group: 1 | tuktoyaktuk, ca"
"Skipping Record 2 in callset group: 1 | gazni, af NOT FOUND"
"Processed Record 3 in callset group: 1 | barrow, us"
"Processed Record 4 in callset group: 1 | chalons-en-champagne, fr"
"Skipping Record 5 in callset group: 1 | codrington, ag NOT FOUND"
"Processed Record 6 in callset group: 1 | la ronge, ca"
"Processed Record 7 in callset group: 1 | carnarvon, au"
"Processed Record 8 in callset group: 1 | hermanus, za"
"Skipping Record 9 in callset group: 1 | utiroa, ki NOT FOUND"
"Processed Record 10 in callset group: 1 | port elizabeth, za"
"Processed Record 11 in callset group: 1 | jamestown, sh"
"Processed Record 12 in callset group: 1 | vila velha, br"
"Skipping Record 13 in callset group: 1 | sentyabrskiy, ru NOT FOUND"
"Skipping Record 14 in callset group: 1 | tumannyy, ru NOT FOUND"
"Processed Record 15 in callset group: 1 | cairns, au"
"Processed Record 16 in callset group: 1 | busselton, au"
"Processed Record 17 in callset group: 1 | mar del plata, ar"
"Processed Record 18 in callset group: 1 | martapura, id"
"Processed Record 19 in callset group: 1 | kutum, sd"
"Processed Record 20 in callset group: 1 | constitucion, mx"
"Processed Record 21 in callset group: 1 | wukari, ng"
"Processed Record 22 in callset group: 1 | nikolskoye, ru"
"Processed Record 23 in callset group: 1 | cabo san lucas, mx"
