,CityID,Name,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed (mph),Date_Time
0,4020109,Atuona,PF,-9.8,-139.03,80.02,73,29,14.65,1573883089
1,3534915,Trinidad,CU,21.81,-79.98,73.4,100,43,3.36,1573883089
2,1015776,Bredasdorp,ZA,-34.53,20.04,62.6,93,91,17.22,1573883089
3,3833367,Ushuaia,AR,-54.81,-68.31,42.8,87,40,5.82,1573883089
4,3896218,Castro,CL,-42.48,-73.76,50.0,93,75,9.17,1573883089
5,628155,Haradok,BY,55.46,29.99,37.4,93,90,8.95,1573883089
6,964432,Port Alfred,ZA,-33.59,26.89,66.99,91,10,3.0,1573883089
7,481548,Troitsko-Pechorsk,RU,62.71,56.19,30.51,87,83,9.15,1573883089
8,2158767,Mareeba,AU,-16.99,145.42,91.0,51,6,13.87,1573883089
9,5688025,Bismarck,US,46.81,-100.78,32.0,94,90,8.05,1573883089
10,3372707,Ribeira Grande,PT,38.52,-28.7,58.1,65,70,1.19,1573883089
11,1490256,Talnakh,RU,69.49,88.39,-9.4,83,11,4.47,1573883090
12,615460,Pitsunda,GE,43.16,40.34,51.01,52,0,4.47,1573883090
13,3874787,Punta Arenas,CL,-53.16,-70.91,41.0,86,40,13.87,1573883090
14,3686134,Cogua,CO,5.06,-73.98,53.6,93,20,4.7,1573883090
15,2381334,Atar,MR,20.52,-13.05,71.78,32,84,10.76,1573883090
16,5848280,Kapaa,US,22.08,-159.32,78.8,88,90,4.7,1573883090
17,3369157,Cape Town,ZA,-33.93,18.42,66.99,77,20,29.97,1573883089
18,5859699,College,US,64.86,-147.8,6.8,54,90,6.93,1573883090
19,2077963,Albany,AU,-35.02,117.88,78.8,54,13,16.11,1573883090
20,4030556,Rikitea,PF,-23.12,-134.97,73.53,83,91,20.83,1573883090
21,1006984,East London,ZA,-33.02,27.91,66.2,100,90,8.05,1573883090
22,2194098,Ahipara,NZ,-35.17,173.16,69.01,76,0,9.69,1573883090
23,1798632,Pingyin,CN,36.28,116.45,65.61,29,0,7.18,1573883090
24,1244926,Hambantota,LK,6.12,81.12,86.0,84,40,4.7,1573883090
25,2457163,Gao,ML,16.28,-0.04,69.71,19,0,0.94,1573883090
26,2206939,Bluff,NZ,-46.6,168.33,54.0,78,93,11.01,1573883091
27,1142264,Farah,AF,32.37,62.11,57.49,26,68,5.57,1573883091
28,3374333,Praia,CV,14.92,-23.51,73.4,73,75,8.05,1573883091
29,3671519,Puerto Carreno,CO,6.19,-67.49,76.6,89,100,3.67,1573883091
30,214575,Kampene,CD,-3.59,26.67,72.88,96,100,0.83,1573883091
31,4032243,Vaini,TO,-21.2,-175.2,75.2,73,20,12.75,1573883091
32,2121385,Severo-Kurilsk,RU,50.68,156.12,21.83,66,76,13.96,1573883091
33,2028164,Deputatskiy,RU,69.3,139.9,-7.98,99,70,0.83,1573883091
34,650225,Kuopio,FI,62.89,27.68,30.2,92,90,4.7,1573883091
35,2122574,Ola,RU,59.58,151.3,23.54,64,100,28.9,1573883091
36,3652764,Puerto Ayora,EC,-0.74,-90.35,70.0,89,6,5.99,1573883091
37,1252783,Yarada,IN,17.65,83.27,86.0,55,28,4.7,1573883091
38,1283285,Jumla,NP,29.28,82.18,59.23,18,100,3.98,1573883091
39,6185377,Yellowknife,CA,62.45,-114.38,8.6,84,90,9.17,1573882823
40,2267254,Lagoa,PT,37.14,-8.45,48.99,70,0,11.41,1573883092
41,4031637,Lavrentiya,RU,65.58,-170.99,26.01,73,26,25.03,1573883092
42,5563839,Fortuna,US,40.6,-124.16,55.99,100,90,3.36,1573883092
43,3418910,Upernavik,GL,72.79,-56.15,24.49,92,100,16.02,1573883092
44,2120591,Tilichiki,RU,60.47,166.1,8.46,76,97,9.82,1573883092
45,1500399,Lokosovo,RU,61.13,74.84,12.65,92,100,12.48,1573883092
46,3466165,Cidreira,BR,-30.17,-50.22,67.35,74,24,13.38,1573883092
47,1737486,Bintulu,MY,3.17,113.03,87.8,74,75,9.17,1573883092
48,2447513,Arlit,NE,18.74,7.39,74.79,15,0,7.72,1573883092
49,2163355,Hobart,AU,-42.88,147.33,57.2,33,75,21.92,1573882804
50,1684292,Taguisa,PH,6.7,124.04,82.08,67,7,5.37,1573883092
51,3530097,Tres Picos,MX,16.23,-93.58,66.63,81,44,9.24,1573883153
52,6170031,Tuktoyaktuk,CA,69.44,-133.03,-11.2,83,75,5.82,1573883153
